,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
942,True,1,0,0,1,36,4208,0.39999999999999947,9,12,5749,10,11,6,0,0,0,0,0,0,1,0,1
943,False,1,0,0,0,39,1367,0.0,31,4,2769,0,-3,-36,1,0,0,0,0,0,0,1,0
944,False,0,0,0,0,26,-2742,0.0,-9,-19,-1128,-4,-8,32,3,0,0,0,0,0,0,0,0
945,False,1,0,0,0,34,953,0.0,3,-8,5062,2,2,-4,1,0,0,0,0,0,-1,0,1
946,False,1,0,0,0,17,-971,-0.40000000000000036,-35,-8,89,1,3,0,-3,0,0,0,0,0,0,-1,1
947,False,0,0,0,0,24,-1070,0.39999999999999947,3,8,-2581,-3,-4,-1,2,0,0,0,0,0,-1,1,0
948,True,1,0,0,0,19,3600,0.0,7,0,1610,4,7,4,2,0,0,0,0,0,0,1,1
949,True,1,0,0,1,32,-1227,0.0,-22,0,-2263,-1,0,0,1,0,0,0,0,0,1,0,0
950,False,1,0,0,0,23,2536,0.20000000000000018,13,11,3713,5,2,11,-5,0,0,0,0,0,0,0,1
951,True,0,0,0,1,24,690,0.0,-17,7,2537,3,5,1,1,0,0,0,0,0,1,1,1
952,False,1,0,0,0,23,-1783,-0.40000000000000036,-22,8,-3437,-4,-9,7,-2,0,0,0,0,0,0,0,0
953,False,0,0,0,0,24,128,-0.1999999999999993,-18,-25,-4814,3,3,14,-14,0,0,0,0,0,-1,0,1
954,True,1,0,0,0,21,5091,0.40000000000000036,29,-8,6667,10,8,-1,3,0,0,0,0,0,0,0,1
955,True,0,0,0,0,27,1431,0.20000000000000018,19,-4,740,1,3,1,1,0,0,0,0,0,0,0,1
956,True,1,0,0,0,29,399,0.1999999999999993,-1,0,-993,4,-1,-2,1,0,0,0,0,0,-1,0,1
957,False,1,0,0,0,19,-1690,-0.7999999999999998,-25,-4,-2190,-3,-4,-1,1,0,0,0,0,0,0,0,0
958,False,1,0,0,1,31,-1011,-0.39999999999999947,-31,-4,-4837,0,2,-2,2,0,0,0,0,0,1,0,0
959,False,0,0,0,1,29,-1162,0.39999999999999947,11,4,-47,-1,-5,-1,2,0,0,0,0,0,1,0,0
960,False,0,0,0,1,34,-786,0.0,-17,4,-693,-2,-2,-3,-1,0,0,0,0,0,1,0,0
961,True,0,0,0,0,27,-70,0.0,11,3,-1187,0,1,-2,-2,0,0,0,0,0,0,1,0
962,False,1,0,0,0,32,1965,0.0,40,-23,5109,3,5,1,0,0,0,0,0,0,0,-1,1
963,True,1,0,0,0,17,4330,0.39999999999999947,60,16,6623,4,4,2,5,0,0,0,0,0,0,1,1
964,False,0,0,0,0,28,-1976,-0.5999999999999996,11,-4,-259,-5,-11,-2,-2,0,0,0,0,0,-1,-1,0
965,False,0,0,0,0,26,-1522,-0.39999999999999947,-26,-4,-4749,0,-1,-2,-2,0,0,0,0,0,0,0,0
966,False,0,0,0,0,23,-3469,-0.20000000000000018,-32,-3,-6233,-8,-11,-2,0,0,0,0,0,0,-1,1,0
967,True,1,0,0,0,20,1800,-0.1999999999999993,-7,2,-793,4,3,16,3,0,0,0,0,0,-1,-1,1
968,True,1,0,0,1,21,3365,0.20000000000000018,13,12,1614,6,10,-1,-1,0,0,0,0,0,1,0,1
969,True,1,0,0,0,30,-1221,-0.20000000000000018,17,-4,-132,-3,-3,2,3,0,0,0,0,0,-1,0,0
