,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
186,KR_6422223347,True,15388,2243,32,6.4,157,40,18282,0,10,10,6,11,0,0,0,,0,0,0,0,0,0,,0,0,False,15652,4762,32,6.4,128,40,13787,1,10,10,10,9,1,0,0,,0,0,0,0,0,0,,0,0,33
187,KR_6443645475,True,17092,5227,34,6.8,212,52,13689,0,10,7,3,15,3,0,0,,0,0,0,0,0,0,,0,0,False,14505,1540,30,6.0,161,56,13754,1,7,10,6,13,1,0,0,,0,0,0,0,0,0,,0,0,27
188,KR_6432862642,False,12808,1583,29,5.8,165,24,11469,0,3,8,3,13,0,0,0,,0,0,0,0,0,0,,0,0,True,15032,2926,34,6.8,154,52,9419,1,8,3,5,10,0,0,0,,0,0,0,0,0,0,,0,0,24
189,KR_6372304894,True,14693,5688,34,6.8,150,44,11622,1,8,1,11,0,16,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,False,11317,1727,30,6.0,155,28,11117,0,1,8,1,0,1,0,0,,0,0,0,0,0,0,,0,0,35
190,KR_6350753257,True,13350,2885,34,6.8,165,56,11919,1,3,5,3,18,3,0,0,,0,0,0,0,0,0,,0,0,False,13228,4583,31,6.2,141,48,12065,0,5,3,6,11,2,0,0,,0,0,0,0,0,0,,0,0,24
191,KR_6380848228,True,14290,5225,34,6.8,185,48,11176,1,5,0,4,170,3,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,False,10826,3336,30,6.0,139,38,7622,0,0,5,0,10,1,0,0,,0,0,0,0,0,0,,0,0,23
192,KR_6311513558,True,13618,3883,32,6.4,194,60,11639,0,4,2,0,30,0,0,0,,0,0,0,0,0,0,,0,0,False,12346,3446,30,6.0,134,47,8490,1,2,4,1,225,11,0,0,,0,0,0,0,0,0,,0,0,17
193,KR_6440849057,False,14150,2600,31,6.2,132,32,15582,1,8,14,9,175,0,0,0,,0,0,0,0,0,0,,0,0,True,16339,3989,32,6.4,140,46,17625,0,14,8,10,12,0,0,0,,0,0,0,0,0,0,,0,0,35
194,KR_6399704028,False,13138,2418,32,6.4,168,40,10288,1,3,4,1,8,0,0,0,,0,0,0,0,0,0,,0,0,True,13861,4431,33,6.6,177,48,12831,0,4,3,4,9,1,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,24
195,KR_6329204959,False,13251,1671,30,6.0,148,37,9084,0,5,10,5,12,0,0,0,,0,0,0,0,0,0,,0,0,True,17228,2518,34,6.8,204,46,15381,1,10,5,11,11,2,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,23
196,KR_6360296183,False,13620,3340,32,6.4,172,48,11444,1,5,6,3,0,1,0,0,,0,0,0,0,0,0,,0,0,True,14041,2701,33,6.6,153,36,11345,0,6,5,7,0,1,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,25
197,KR_6355593833,False,13969,3609,30,6.0,159,40,10912,1,6,5,4,0,0,0,0,,0,0,0,0,0,0,,0,0,True,14506,4606,32,6.4,155,60,11664,0,5,6,5,0,0,0,0,,0,0,0,0,0,0,,0,0,23
198,KR_6369962565,False,11723,2073,31,6.2,135,36,8990,0,2,10,1,0,0,0,0,,0,0,0,0,0,0,,0,0,True,15568,4258,33,6.6,167,24,15167,1,10,2,11,0,2,0,0,,0,0,0,0,0,0,,0,0,23
199,KR_6378094149,False,12051,2916,30,6.0,147,46,7520,0,2,9,1,12,14,0,0,,0,0,0,0,0,0,,0,0,True,16152,5442,33,6.6,179,50,15729,1,9,2,7,36,2,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,17
