,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
2667,False,1,0,0,0,26,-3857,-0.6000000000000014,-3,-36,-9152,-7,-22,6,-11,0,0,0,0,0,-1,-1,0
2668,True,1,0,0,1,30,4630,0.8000000000000007,46,-29,2102,9,14,8,-2,0,0,0,0,0,1,1,1
2669,True,0,0,0,0,22,6898,1.0,-16,22,1798,10,16,-1,1,1,1,0,-1,0,0,1,1
2670,True,1,1,0,0,37,3305,0.40000000000000036,-15,33,-1349,2,18,-7,6,1,0,0,1,0,0,1,1
2671,True,0,0,0,0,24,2548,0.0,38,3,-1560,4,-4,3,-1,0,0,0,0,0,-1,1,1
2672,False,1,0,0,0,24,-1472,-0.40000000000000036,-3,20,-10008,-5,-1,1,-2,0,0,0,0,0,-2,1,0
2673,True,1,0,0,0,17,9028,1.0,47,-9,6551,15,17,-2,3,0,0,0,-1,0,-1,1,1
2674,True,1,0,0,0,23,4467,0.8000000000000007,42,-13,4141,6,3,-24,3,0,-1,0,0,0,-1,1,1
2675,True,1,0,0,1,21,2421,0.40000000000000036,-50,12,5762,4,6,2,3,0,0,0,0,0,1,1,1
2676,False,1,0,0,0,26,-4293,-0.5999999999999996,-66,-7,-5386,-4,-3,-2,-6,0,0,0,-1,0,-2,1,0
2677,False,0,0,0,0,21,-8753,-0.7999999999999989,-89,-11,-13099,-9,-17,-5,3,0,-1,0,-1,0,-2,-1,0
2678,True,1,1,0,1,24,5271,0.8000000000000007,42,20,2932,7,8,0,3,1,1,0,0,0,1,1,1
2679,False,1,1,0,1,28,4242,-0.20000000000000107,53,0,3720,-4,-8,16,1,3,1,1,1,0,1,1,0
2680,True,0,0,0,1,41,-1762,0.0,-38,20,-770,-3,-5,-18,2,0,0,0,0,0,1,1,0
2681,True,1,0,0,1,36,-1235,-0.5999999999999996,-12,0,-2630,-3,6,5,-1,-1,0,-1,0,0,2,-1,0
2682,False,0,0,0,1,20,-7924,-0.20000000000000107,-25,0,-11052,-11,-12,-41,17,0,0,0,-1,0,0,-1,0
2683,True,1,0,0,1,36,3380,0.40000000000000036,-26,3,7930,3,9,-3,4,0,0,0,0,0,1,1,1
2684,True,1,0,0,1,22,-10,0.0,66,17,1448,-3,4,-5,-2,0,-1,0,0,0,2,-1,0
2685,False,1,0,0,0,22,-30,0.0,-2,-8,226,0,-2,-9,4,0,0,0,0,0,0,-1,0
2686,False,1,0,0,1,18,-6876,-0.5999999999999996,-41,-20,-2023,-7,-10,2,-5,0,0,0,-1,0,1,-1,0
2687,False,0,0,0,0,21,-5973,-0.5999999999999996,-46,0,-8695,-9,-15,25,-2,-1,0,-1,-1,0,-1,1,0
2688,True,1,1,0,1,29,4428,0.1999999999999993,62,-7,1199,6,9,4,2,1,0,0,1,0,2,1,1
2689,True,1,0,0,0,22,42,0.20000000000000107,-11,-6,1970,0,2,-7,4,0,0,0,0,0,-1,-1,0
2690,False,0,0,0,0,22,-11733,-1.8000000000000007,-104,-43,-15325,-12,-10,-6,-1,-1,-2,-1,-1,0,-2,-1,0
2691,False,1,0,0,1,24,-3019,-0.20000000000000107,-14,-6,-1816,2,-1,-3,8,-1,-1,-1,0,0,1,-1,1
2692,False,1,0,0,0,27,-1405,-0.40000000000000036,12,4,2794,-8,-13,3,2,0,0,0,0,0,-1,1,0
2693,False,1,0,0,0,31,-2312,0.20000000000000107,-49,10,2384,4,-2,-7,7,0,0,0,-1,0,0,1,1
2694,False,0,0,0,0,15,-14156,-2.5999999999999996,-115,-17,-12371,-18,-14,-20,-1,0,-5,0,-1,-1,-1,-1,0
2695,False,1,0,0,1,27,-1897,-0.40000000000000036,-59,-7,2677,1,0,-5,-2,-1,0,-1,0,0,0,1,1
2696,True,1,0,0,0,31,2755,0.6000000000000014,-27,0,5970,10,13,4,3,0,0,-1,1,0,0,-1,1
2697,False,1,0,0,0,24,-5815,-0.7999999999999989,-1,-31,-6099,-12,-17,-3,-4,0,0,0,0,0,0,-1,0
2698,True,1,0,0,0,34,1935,0.40000000000000036,32,25,1614,2,12,-3,1,-1,0,-1,0,0,0,-1,1
2699,False,0,0,0,0,24,-7367,-1.0,3,-19,-8614,-9,-6,0,-1,-1,-1,-1,0,0,-1,-1,0
2700,True,1,0,0,1,26,3572,0.1999999999999993,28,5,7486,8,10,4,-2,-1,-1,-2,1,0,1,-1,1
2701,False,0,1,0,0,38,272,-0.1999999999999993,-17,-5,1213,0,-5,144,-2,1,0,0,1,0,-2,1,0
2702,True,1,0,0,0,34,3743,0.5999999999999996,-11,-4,7739,10,16,14,-9,1,1,0,-1,0,-2,1,1
2703,True,1,0,0,1,21,2612,0.5999999999999996,-27,5,4635,7,4,-40,2,0,0,0,0,0,1,-1,1
2704,False,0,1,0,1,36,1574,0.0,-7,46,273,-6,-9,-13,1,1,0,1,0,0,1,1,0
2705,False,0,0,0,0,25,-2239,0.0,5,-11,-1042,-3,-9,-41,10,0,0,0,0,0,-1,-1,0
2706,True,0,1,1,1,15,12546,2.200000000000001,124,24,15696,16,23,64,4,6,5,0,1,1,1,-1,1
2707,False,1,0,0,0,29,-2607,-0.40000000000000036,-34,-25,1721,-8,1,2,4,-1,0,-1,0,0,-1,1,0
2708,False,0,0,0,1,35,-2219,-0.20000000000000107,-104,-31,-2835,5,14,6,-7,-1,0,-1,-1,0,1,-1,1
2709,True,1,1,0,1,18,6817,0.8000000000000007,-19,16,7764,16,15,13,-3,1,0,0,1,0,2,-1,1
2710,True,0,0,0,1,32,-332,-0.40000000000000036,-54,19,2823,3,1,12,-4,0,0,0,0,0,2,1,1
2711,False,1,0,0,0,23,-531,0.0,-17,-2,2904,-1,5,0,0,0,0,0,0,0,-1,1,0
2712,True,1,0,0,1,24,2427,0.8000000000000007,57,12,3550,0,-4,-1,2,-1,0,-1,0,0,2,-1,0
2713,False,0,0,0,0,25,-3349,-0.40000000000000036,-59,1,878,-2,-1,17,-5,1,-1,1,0,0,-1,1,0
2714,True,0,1,0,1,18,9196,0.5999999999999996,29,34,8334,10,17,10,-2,3,2,0,1,0,2,1,1
2715,False,0,0,0,0,29,-1836,0.0,-11,7,-3316,0,-2,9,-9,0,0,0,0,0,-2,-1,0
