,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
187,KR_6446796288,False,23268,3778,43,8.6,278,52,25477,0,14,16,9,17,3,0,0,,0,0,0,0,0,0,,0,0,True,25286,1828,43,8.6,263,56,26411,1,16,14,12,17,5,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,31
188,KR_6444201184,False,20377,4262,40,8.0,261,64,20948,0,7,9,10,20,4,0,0,,0,0,0,0,0,0,,0,0,True,24122,5407,44,8.8,316,88,21347,1,9,7,10,23,3,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,29
189,KR_6445668475,False,24617,4522,43,8.6,291,68,26856,0,13,13,13,22,3,0,0,,0,0,0,0,0,0,,0,1,True,24801,2406,45,9.0,304,67,30978,1,13,13,12,20,2,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,31
190,KR_6446777700,False,25648,3313,43,8.6,254,60,27534,1,16,12,31,29,7,0,0,,0,0,0,0,0,0,,0,0,True,25931,1611,43,8.6,299,84,23368,0,12,16,16,24,6,0,0,,0,0,0,0,0,1,"HEXTECH_DRAGON,FIRE_DRAGON",2,1,28
191,KR_6393575453,True,24463,3118,42,8.4,295,60,31180,1,13,6,10,28,4,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,False,19540,4045,41,8.2,231,58,23314,0,6,13,5,27,2,0,0,,0,0,0,0,0,0,,0,0,23
192,KR_6446411798,False,21191,4106,42,8.4,281,64,25602,1,8,11,8,25,6,0,0,,0,0,0,0,0,0,,0,0,True,26706,4431,45,9.0,326,64,23453,0,11,8,13,29,10,1,0,BOT_LANE,1,0,0,1,0,1,AIR_DRAGON,1,1,40
193,KR_6391898917,True,23191,2536,43,8.6,298,65,24165,1,7,11,4,24,4,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,False,21974,4149,42,8.4,273,52,23400,0,11,7,7,23,3,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,35
194,KR_6443891525,False,22251,2726,43,8.6,293,62,17128,1,9,6,4,21,5,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,True,22553,1933,43,8.6,323,76,23044,0,6,9,4,23,3,0,0,,0,0,0,0,0,0,,0,1,30
195,KR_6426849803,True,23152,3647,44,8.8,307,64,24169,1,7,7,5,55,2,0,0,,0,0,0,0,0,0,,0,1,False,21084,4929,43,8.6,329,52,19133,0,7,7,3,26,7,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,35
196,KR_6426013186,True,28354,2574,44,8.8,308,63,32759,0,17,12,18,25,7,1,0,BOT_LANE,2,1,0,1,0,1,CHEMTECH_DRAGON,1,0,False,24509,1266,42,8.4,255,68,34049,1,12,17,20,30,2,0,0,,0,0,0,0,0,0,,0,1,26
197,KR_6386863182,True,27012,2777,45,9.0,335,60,28166,1,12,5,9,27,37,1,0,BOT_LANE,1,0,0,1,0,1,FIRE_DRAGON,1,1,False,20692,3007,43,8.6,296,80,23321,0,5,12,5,61,3,0,0,,0,0,0,0,0,0,,0,0,21
198,KR_6399212539,False,22525,3360,44,8.8,261,80,19287,0,9,11,9,34,2,0,0,,0,0,0,0,0,0,,0,0,True,24772,2256,44,8.8,278,60,26605,1,11,9,8,23,2,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,19
199,KR_6406075947,False,21867,967,41,8.2,229,67,19309,0,11,9,10,23,4,0,0,,0,0,0,0,0,0,,0,0,True,24356,4271,45,9.0,342,80,25408,1,9,11,10,22,4,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,27
200,KR_6442565584,True,26088,3163,43,8.6,262,84,26537,1,12,6,10,23,4,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,False,20906,856,40,8.0,226,56,19065,0,6,12,11,20,3,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,32
